path,title,image,description,lastModified
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-7,Developer Guide to Document Authoring with Edge Delivery Services - Part 7,/blogs/ddt/media_151efecfe0430ed1e37c7444ca8db86982c28d9a7.png?width=1200&format=pjpg&optimize=medium,"This tutorial will guide you through Document Authoring with Edge Delivery Services. This time, some useful components",1725218398
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-8,Developer Guide to Document Authoring with Edge Delivery Services - Part 8,/blogs/ddt/media_1819684cff75871771cc8ea01ae1a29fe48227b9c.png?width=1200&format=pjpg&optimize=medium,"This tutorial will guide you through Document Authoring with Edge Delivery Services. This time, using AI with Edge Delivery Services",1725295745
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-9,Developer Guide to Document Authoring with Edge Delivery Services - Part 9,/blogs/ddt/media_1baaa119c1c4b6af4adccf00624b45b21303d1382.png?width=1200&format=pjpg&optimize=medium,"This tutorial will guide you through Document Authoring with Edge Delivery Services. This time, set up and best practice",1725539551
/blogs/ddt/eds-ai,AI-Powered Development,/blogs/ddt/media_1072b12c4580da4057cdc38d91cc2ecfb636072d6.png?width=1200&format=pjpg&optimize=medium,An article explaining a recent presentation,1726862477
/blogs/ddt/guide-to-aem-development-with-ai,A Guide to AEMaaCS Development with AI,/blogs/ddt/media_1391fcf768401ac610fdec7c9953b5756b74d5fe7.png?width=1200&format=pjpg&optimize=medium,I'm sharing an exciting development that's transforming how I approach development as a non-traditional AEM developer.,1731352385
/blogs/ddt/guide-to-mastering-ai-prompting-the-significance-of-understanding-programming,The Significance of Understanding Programming with AI,/blogs/ddt/media_16de8b14c7de623a15534cfe8a8b28432a9e41249.png?width=1200&format=pjpg&optimize=medium,Guide to Mastering AI Prompting: The Significance of Understanding Programming,1732658930
/blogs/ddt/llm-router,Using Cursor with Local LLM,,An article explaining how to use Cursor with Local LLM. Includes Scripts,1726059166
/blogs/ddt/local-development-with-aem-and-universal-editor,Local Development with AEM and Universal Editor,/blogs/ddt/media_13044e3d963766aca3b0d85134751b57012382df1.png?width=1200&format=pjpg&optimize=medium,Setting up a local development environment for AEM with the Universal Editor.,1726512717
/blogs/ddt/revolutionising-aem-development-with-ai-a-live-demonstration,Revolutionising AEM Edge Delivery Services Development with AI,/default-meta-image.png?width=1200&format=pjpg&optimize=medium,"Welcome, everyone. I'm Tom Cranstoun, an independent Adobe Experience Manager (AEM) Consultant. Today, I'm excited to showcase the transformative power of AI in web development, ...",1725814653
/blogs/ddt/structuring-context-for-effective-ai-development,Structuring Context for Effective AI Development,/blogs/ddt/media_120a069aaacaa85ad73d3baf67b1df4573f5c0af0.png?width=1200&format=pjpg&optimize=medium,"This post will explore the three-tiered structure for creating context in Cursor.ai, ensuring your AI assistant has all the information it needs to be a valuable coding partner.",1726511084
/blogs/ddt/ai/mathematics-behind-ai,Slides for Mathematics behind AI,/blogs/ddt/ai/media_145229c84cef4f9840eb5592c6baf70560321f162.png?width=1200&format=pjpg&optimize=medium,The mathematics behind AI,1743769783
/blogs/ddt/ai/,Toms Blog - AI Index Page,/blogs/ddt/ai/media_1b3ab81670abcf9674aa52372d72fb1a3491b966a.png?width=1200&format=pjpg&optimize=medium,The index page of the AI blogs of a seasoned architect.,1764066528
/blogs/ddt/ai/the-stripped-down-truth-how-ai-actually-works-without-the-fancy-talk,The Stripped-Down Truth -- How AI Actually Works Without the Fancy TalkI,,"The AI community has been hiding the real math behind clever, human-like terminology since the 1950s—all to make the topic seem more interesting and mysterious than it actually is. Let's cut through the jargon and explain what's really happening with these so-called ""intelligent"" systems, especially when it comes to mathematical reasoning.",1744013504
/blogs/ddt/ai/disadvantages-and-problematic-content-in-common-crawl,Disadvantages and Problematic Content in Common Crawl,,"While Common Crawl provides an invaluable resource for researchers and AI developers, it also presents significant challenges and concerns, particularly regarding problematic content. This document examines the disadvantages of using Common Crawl data, with a specific focus on unsafe, pornographic, violent, hate speech, and racist content that may be present in the dataset.",1743868120
/blogs/ddt/ai/does-ai-mean-algorithmic-interpolation,Does AI Mean Algorithmic Interpolation,/blogs/ddt/ai/media_1fa89e7cfa25e27b06ebabbfab19cc67662d9381f.png?width=1200&format=pjpg&optimize=medium,"Artificial intelligence has recently captivated the public imagination with promises of self-driving cars and effortless creative works. However, these impressive results are not products of thought, but rather the result of sophisticated mathematical operations, specifically advanced forms of algorithmic interpolation.",1745424515
/blogs/ddt/ai/the-mathematical-heartbeat-of-ai,The Mathematical Heartbeat of AI,/blogs/ddt/ai/media_1bf46b02b9656ba462d069ab3bb34384c8687d4e8.png?width=1200&format=pjpg&optimize=medium,"Exploring the fundamental mathematical concepts that power artificial intelligence. Euler's number (e) and its role in creating smooth growth patterns, the sigmoid function for binary decisions, ReLU for improved training, and vectorization for language processing. It also explains the softmax function for multi-class classification and how these mathematical building blocks work together in neural networks, emphasizing that understanding these principles is crucial for effectively using and comprehending AI systems",1745425905
/blogs/ddt/ai/how-ai-models-think,Behind the Curtain - How AI Models Think,/blogs/ddt/ai/media_1e34b8e0749c943aff2f2800d1a0a4cdf8c545902.png?width=1200&format=pjpg&optimize=medium,"When we interact with AI language models, we often see only their final responses. But what's happening behind the scenes as these systems process our questions, especially when faced with linguistic ambiguity, wordplay, or jokes? A fascinating series of conversations with two AI models—Phi-4 and Deepseek-r1:70b—offers a glimpse into these internal processes.",1745431103
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-appendix,Developer Guide to Document Authoring with Edge Delivery Services - Apendix,/blogs/ddt/media_1343348c59a8a032be2c0f0ffd41cdfc17d7c1b21.png?width=1200&format=pjpg&optimize=medium,Summary of Best Practices for EDS Development,1749485310
/blogs/ddt/five-things-to-do-do-in-york,"Five things to do in York, England",/blogs/ddt/media_19853fc51f96a250e0853c1e5f204851aaeecc73a.png?width=1200&format=pjpg&optimize=medium,A number of posts describing what to do in York England,1745689150
/blogs/ddt/ai/making-llms-txt-work-for-headless-websites,Making LLMs.txt work for Headless Websites,/blogs/ddt/ai/media_18c3d5bc3007b8cebd59063d077d32026d7096e9e.png?width=1200&format=pjpg&optimize=medium,"There's a critical disconnect hiding in plain sight: AI systems can't see your JavaScript-rendered content. While humans experience rich, interactive websites, large language models encounter only empty shells—missing the very information they're designed to analyze. The llms.txt standard offers an innovative solution, but as a September 2024 proposal, most AI systems don't know it exists yet.  Discover how a creative blend of traditional HTML meta tags and modern specifications bridges this gap, ensuring your content remains visible in an AI-mediated world without waiting years for AI systems to catch up.",1745699265
/blogs/ddt/ai/why-modern-web-architecture-confuses-ai,Why Modern Web Architecture Confuses AI,/blogs/ddt/ai/media_101e483d61f70b768da37ddfc9ab6fbd2c8ef42a2.png?width=1200&format=pjpg&optimize=medium,"One significant but often overlooked limitation of current AI systems is their struggle to comprehend modern web architectures, particularly headless implementations that separate content from ...",1747239920
/blogs/ddt/ai/what-is-missing-from-ai-the-blog-post,What's missing from AI - The Blog Post,/blogs/ddt/ai/media_1dd498b90084735fb3cfcd348b09b28f229637f4b.png?width=1200&format=pjpg&optimize=medium,"Despite remarkable progress in artificial intelligence, today's AI systems—particularly Large Language Models—lack several critical capabilities that limit their effectiveness in enterprise settings.  This article describes some of them and offers a pragmatic solution",1746795031
/blogs/ddt/the-adapter-pattern-liberating-your-eds-design,The Adapter Pattern - Liberating your EDS Design,/blogs/ddt/media_1939d5083a575a3f7d254abc9a2be9402d5ff2f98.png?width=1200&format=pjpg&optimize=medium,Using the adapter patter with EDS,1749485310
/blogs/ddt/faq,Edge Delivery Services Developer FAQ,/default-meta-image.png?width=1200&format=pjpg&optimize=medium,,1747164152
/blogs/ddt/ai/a-framework-for-evaluating-ai-confidence,A Framework for Evaluating AI Confidence,/blogs/ddt/ai/media_183e1ce09d2c98a006b6094cde400791716dc8f21.png?width=1200&format=pjpg&optimize=medium,"When interacting with large language models like GPT, ChatGPT, or Claude, we often focus on the answer provided. But beneath the surface of these responses lies a landscape of probability and uncertainty that remains invisible to most users. Understanding this hidden dimension offers valuable insight into the reliability of AI-generated information., This analysis explores a practical method for examining AI confidence at the token level, providing a framework for distinguishing between high-confidence information and potentially problematic claims.  Even if you are not a developer it is am interesting read.",1749485310
/blogs/ddt/ai/complete-guide-to-comfyui-on-mac-installation-configuration-and-troubleshooting,"Complete Guide to ComfyUI on Mac: Installation, Configuration, and Troubleshooting",/blogs/ddt/ai/media_1665020e20a4ee81281389a4f07ecafe2bc45a861.png?width=1200&format=pjpg&optimize=medium,"Complete Guide to ComfyUI on Mac: Installation, Configuration, and Troubleshooting, This document provides a comprehensive walkthrough for installing, configuring, and troubleshooting ComfyUI on macOS. ComfyUI is a powerful and modular node-based interface for Stable Diffusion, offering a flexible and efficient way to create and experiment with generative AI workflows. This guide aims to take you from the initial setup to effectively utilizing ComfyUI's features on your Mac system. We will cover each step in detail, addressing potential issues and providing helpful tips along the way.",1747238894
/blogs/ddt/ai/setting-up-your-mac-for-local-ai-development,Setting Up Your Mac for Local AI Development,,"Recent advancements in AI now allow running advanced machine learning models directly on Apple Silicon Macs. This eliminates reliance on costly cloud services or specialized hardware. This guide provides a comprehensive setup for a local AI development environment on your Mac, enabling work on complex machine learning models privately and without ongoing expenses.",1747239730
/blogs/ddt/ai/english-dominance-in-ai-systems-leaves-other-languages-behind,English Dominance in AI Systems,/blogs/ddt/ai/media_1992f273752214cd0da127431ed03b1ea5ffe26eb.png?width=1200&format=pjpg&optimize=medium,"Artificial intelligence systems aren't just better at English - they're fundamentally English-centric technologies. From their initial training to their latest developments, from how they process prompts to how they ""think"" about problems, AI systems operate within an English-dominant framework that leaves other languages struggling to keep pace.",1747918350
/blogs/ddt/ai/the-digital-language-caste-system,The Digital Language Caste System - How AI Creates Linguistic Apartheid,/blogs/ddt/ai/media_13bb2687557d3f5d0d9c8566c424e425e4507d03d.png?width=1200&format=pjpg&optimize=medium,How artificial intelligence systems are creating a digital hierarchy based on language – and why this transformation is happening faster than most realize,1748434052
/blogs/ddt/ai/the-tokenization-trap-how-ai-actually-processes-german,The Tokenization Trap - How AI Actually Processes German,/blogs/ddt/ai/media_19710442a93ab236aa9c5ae98e5b8e398f538209c.png?width=1200&format=pjpg&optimize=medium,Today we're going under the hood to see what happens when AI processes German text. The discovery might shock you: the problem goes beyond having less German training data. It's about fundamental computational approaches built around English assumptions.,1749229017
/blogs/ddt/integrations/vue-js-version-of-slide-viewer-in-gdoc,Vue Js Slide Viewer in GDocs,,Vue Js  Slide Viewer in GDocs,1750851437
/blogs/ddt/integrations/building-a-vuejs-app-with-edge-delivery-services,Building a VueJS app with Edge Delivery Services,/blogs/ddt/integrations/media_18d1032b31cad4b42dbf6fb75b386babc66783be4.png?width=1200&format=pjpg&optimize=medium,This tutorial demonstrates building a Vue.js slide builder app integrated with Adobe Edge Delivery Services. The app dynamically fetches and displays slide content with interactive modal panels.,1749560930
/blogs/ddt/integrations/building-headless-applications-with-edge-delivery-services,Building Headless Applications with Edge Delivery Services,/blogs/ddt/integrations/media_1d3080dc376da61a212e46dc7ff6e6d74f7f386b6.png?width=1200&format=pjpg&optimize=medium,"Edge Delivery Services typically works best for static content delivery, but what if you need something more dynamic? This guide shows how to build a headless Single Page Application while keeping the performance benefits that make Edge Delivery Services attractive. Keeping everything framework-less.",1749574623
/blogs/ddt/ai/the-no-elephants-problem-why-ai-struggles-with-what-not-to-do,"The ""No Elephants"" Problem - Why AI Struggles With What NOT to Do",/blogs/ddt/ai/media_1f87a3e3c90ecbca40f150ac609868b7520523abe.png?width=1200&format=pjpg&optimize=medium,Exploring why AI systems consistently fail at understanding negation and what this reveals about their fundamental limitations,1749581892
/blogs/ddt/integrations/using-web-components-in-adobe-edge-delivery-services-blocks,Using Web Components in Adobe Edge Delivery Services Blocks,/blogs/ddt/integrations/media_12e3953b6b570921984687362a38fab2c804e7a6e.png?width=1200&format=pjpg&optimize=medium,"A comprehensive guide to implementing web components in EDS blocks, featuring advanced Shoelace Card components with glassmorphism effects and modern web development practices.",1750768798
/blogs/ddt/integrations/reactjs-version-of-slide-builder,ReactJS version of slide builder,/default-meta-image.png?width=1200&format=pjpg&optimize=medium,,1749802495
/blogs/ddt/integrations/building-a-react-app-with-edge-delivery-services,Building a React App with Edge Delivery Services,/blogs/ddt/integrations/media_1ff7ca7b2746a1d1e449fa1768be74bacc061689b.png?width=1200&format=pjpg&optimize=medium,"Learn how to integrate React applications with Adobe Edge Delivery Services for modern, component-based content experiences",1749834831
/blogs/ddt/integrations/spectrum-component-as-eds-block-in-gdoc,Spectrum Component Slide Viewer in GDocs,,Spectrum Component  Slide Viewer in GDocs,1750851133
/blogs/ddt/integrations/using-spectrum-components-in-adobe-edge-delivery-services-blocks,Using Spectrum Components in Adobe Edge Delivery Services Blocks,/blogs/ddt/integrations/media_194916694379faba4ba7caf1b33f95518b49f1c18.png?width=1200&format=pjpg&optimize=medium,"Learn how to create dynamic UI components for EDS using Adobe Spectrum Web Components and the query-index.json pattern, with practical examples and testing strategies.",1750065032
/blogs/ddt/integrations/,Toms Blog - AI Index Page,/blogs/ddt/integrations/media_1b3ab81670abcf9674aa52372d72fb1a3491b966a.png?width=1200&format=pjpg&optimize=medium,The index page of the Integrations blogs of a seasoned architect.,1764166997
/blogs/ddt/integrations/fast-eds-development-integration-for-ai,Fast EDS Development with AI - A Local-First Approach,/blogs/ddt/integrations/media_1b2638395452ad5182599faecdc5c7f77a72a79f1.png?width=1200&format=pjpg&optimize=medium,Transform your Adobe Edge Delivery Services workflow with a simple development server that brings AI assistance to EDS development,1750329926
/blogs/ddt/integrations/shoelace-version-of-slide-viewer-in-gdocs,Shoelace Version of Slide Viewer in GDocs,,Shoelace Version of Slide Viewer in GDocs,1750764961
/blogs/ddt/integrations/mastering-eds-block-debugging-a-developer-guide-to-edge-delivery-services,Mastering EDS Block Debugging - A Developer's Guide to Edge Delivery Services,/blogs/ddt/integrations/media_12b7f63309ba42322a04251f64f8ecfbd96977c8a.png?width=1200&format=pjpg&optimize=medium,"Learn systematic approaches to debug Adobe Edge Delivery Services blocks, from basic logging to advanced instrumentation techniques.",1750869543
/blogs/ddt/integrations/the-eds-developer-dilemma-and-how-one-framework-solved-it,The EDS Developer's Dilemma - And How One Framework Solved It,/blogs/ddt/integrations/media_16ccf5a3e8ceade40ed53c2ddedc87912f2c8f9ff.png?width=1200&format=pjpg&optimize=medium,How one framework solves the EDS developer's dilemma - enabling sophisticated components whilst maintaining EDS principles,1752260724
/blogs/ddt/,Tom's Blog Index Page,/blogs/ddt/media_11d998bf1475962480f95655273ea94604c289e40.png?width=1200&format=pjpg&optimize=medium,The index page of the blogs of a seasoned AEM architect,1764067033
/strategic-aem-architecture-why-framework-thinking-beats-feature-chasing,Strategic AEM Architecture - Why Framework Thinking Beats Feature Chasing,/media_152e40043087f2fef65be011e68268314d39c92b8.png?width=1200&format=pjpg&optimize=medium,"Independent AEM consultant offers strategic architecture, AI integration planning, and team mentoring for digital transformation success.",1752229837
/blogs/ddt/ai/you-built-software-for-humans-now-build-it-for-ai,You Built Software for Humans - Now Build It for AI,/blogs/ddt/ai/media_14c95049f3d6a5f18f54651eeed971930c7aa8c0d.png?width=1200&format=pjpg&optimize=medium,Software that works brilliantly for humans often confuses AI assistants completely - and that's becoming a serious business problem.,1753036688
/blogs/ddt/human-centred-ai-in-content-management,Human-Centred AI in Content Management,/blogs/ddt/media_1917bcf2d03eb5cd27deddf02ce728b9b291c22e6.png?width=1200&format=pjpg&optimize=medium,"The post examines why human oversight, strategic thinking, and collaborative decision-making remain essential in AI workflows, using examples like development time reduction and engagement improvements. The key message: companies that thrive will use AI as a powerful assistant that enhances human capabilities whilst keeping people in control of the creative and strategic decisions that matter most., Rather than building systems that push humans aside, the blog advocates for human-centred AI that treats technology as a collaborative partner - one that processes data and suggests solutions while humans provide context, creativity, and final judgment calls.",1757947155
/blogs/ddt/ai/the-flyball-governor-how-victorian-engineering-gave-us-the-language-of-ai,The Flyball Governor - How Victorian Engineering Gave Us the Language of AI,/blogs/ddt/ai/media_12db009dd745ca92c38834068053881e437aa5455.png?width=1200&format=pjpg&optimize=medium,Exploring the surprising connections between steam engine governors and modern AI systems,1762142244
/blogs/ddt/integrations/the-convergence-completing-adobe-s-claude-skills-for-perfect-eds-ai-development,The Convergence - Completing Adobe's Claude Skills for Perfect  EDS AI Development,/blogs/ddt/integrations/media_170c54bda6d2adb4d049181e3d663a35a5b477178.png?width=1200&format=pjpg&optimize=medium,How my comprehensive docs/for-ai provides the missing 90% that makes Adobe's EDS Skills actually work,1762598120
/blogs/ddt/integrations/testing-eds-blocks-with-jupyter-notebooks-a-developer-playground,Testing EDS Blocks with Jupyter Notebooks in VS Code,/blogs/ddt/integrations/media_13b0b7d640e4b5a28eaa0b98b788afaab0d1326e2.png?width=1200&format=pjpg&optimize=medium,Set up a Jupyter notebook environment in Visual Studio Code for testing Adobe Edge Delivery Services blocks interactively with JavaScript.,1762642030
/blogs/ddt/integrations/live-version-of-the-ipynb-blog-post,Live version of the ipynb blog post,/blogs/ddt/integrations/media_1cf35d66302ded54a3647ab2f4f74c2a7cdf32e9f.png?width=1200&format=pjpg&optimize=medium,"How I built a browser-based Jupyter notebook system with zero configuration where each cell imports what it needs and previews appear as overlays, the live version",1763057353
/blogs/ddt/integrations/building-interactive-notebooks-for-eds-a-journey-in-context-aware-design,Building Interactive Notebooks for EDS - A Journey in Context-Aware Design,/blogs/ddt/integrations/media_1cb61fe4f0b10aa4a2c90031827b6f3cff530a0bf.png?width=1200&format=pjpg&optimize=medium,How we built a browser-based Jupyter notebook system with zero configuration where each cell imports what it needs and previews appear as overlays,1763056706
/blogs/ddt/the-hidden-complexities-of-ai-code-modification-a-practical-guide,The Hidden Complexities of AI Code Modification: A Practical Guide,/blogs/ddt/media_1b65c37d4f9120cf1293b3e8b41c5fa878bfbfce9.png?width=1200&format=pjpg&optimize=medium,I'm sharing how to use AI effectively to modify existing code.,1763146208
/blogs/ddt/integrations/living-documentation-browser-based-jupyter-notebooks-for-adobe-eds,Living Documentation - Browser-Based Jupyter Notebooks for Adobe EDS,/blogs/ddt/integrations/media_133ef0709433a72bed660f042f0e52485a5fbae67.png?width=1200&format=pjpg&optimize=medium,Transform static documentation into interactive experiences where anyone can see living documentation that adjusts as you develop,1763649233
/blogs/ddt/integrations/ai-powered-adobe-eds-development,AI-Powered Adobe EDS Development,/blogs/ddt/integrations/media_18433f5062e42df236c5de1a62613fc7ab0268f71.png?width=1200&format=pjpg&optimize=medium,"A comprehensive framework for building sophisticated Adobe EDS components using vanilla JavaScript with zero external dependencies, featuring interactive testing and AI-powered development workflows.",1763233144
/blogs/ddt/integrations/live-jupyter-notebook,Live Jupyter Notebook,/blogs/ddt/integrations/media_18faf1796206a559a283a05893ebeb0e4e7a89439.png?width=1200&format=pjpg&optimize=medium,"Jupyter Notebooks (.ipynb files) are an open-source, web-based application for interactive data science and computing. Their core strength is combining live code, equations, visualisations, and ...",1763550678
/blogs/ddt/ai/when-a-five-year-old-beats-an-ai-at-its-own-game,When a Five-Year-Old Beats an AI at Its Own Game,/blogs/ddt/ai/media_199fe46ce7c566d733917fd72f2184d3131f3a47d.png?width=1200&format=pjpg&optimize=medium,A linguistic puzzle exposes the fundamental difference between pattern matching and genuine understanding.,1764247316
/blogs/ddt/integrations/beyond-static-pages-building-rich-apps-with-edge-delivery-services,Beyond Static Pages - Building Rich Apps with Edge Delivery Services,/blogs/ddt/integrations/media_1f4e3a1d4449e928eb0f8a0b9de8400d015a6c5c5.png?width=1200&format=pjpg&optimize=medium,Discover how Edge Delivery Services enables interactive applications through framework integrations,1764166869
/blogs/ddt/edge-delivery-services-knowledge-hub,Edge Delivery Services Knowledge Hub,/blogs/ddt/media_1db41f21211501260d6ea271bc214a7f20bb32bbb.png?width=1200&format=pjpg&optimize=medium,"This document serves as a comprehensive resource centre for Adobe's Edge Delivery Services (EDS). It provides technical documentation, implementation guides, AI integration strategies and best practices for content creation. The site is intended for developers, content authors, and those seeking guidance on AI integration. It is built on Adobe Edge Delivery Services and a document-based architecture.",1764167201
/blogs/ddt/ai/slide-deck-what-is-missing-from-ai,Slide Deck - What is Missing from AI,/blogs/ddt/ai/media_1f79d139cf990babf27a131d39f3e40b4aa7bb15e.png?width=1200&format=pjpg&optimize=medium,Slide deck exploring the limitations and challenges of current AI systems,1749485310
/blogs/ddt/ai/what-s-missing-from-ai-a-journey-from-hype-to-reality,What's Missing from AI: A Journey from Hype to Reality,/default-meta-image.png?width=1200&format=pjpg&optimize=medium,A narrative exploration of AI's limitations and practical enterprise solutions,1749485310
/blogs/ddt/ai/language-model-training-data-sources-and-preparation-guide,Language Model Training Data: Sources and Preparation Guide,,"High-quality training data is fundamental to successful language model development. This comprehensive guide covers how to acquire, prepare, and manage training data for your language models, with emphasis on leveraging the vast resources available in the Hugging Face ecosystem.",1749485310
